Year CollectionDate Gene Subtype Syn Distance Outlier
2017 2017.142 1-PB2 H3N2 S 48 no
2017 2016.891 1-PB2 H3N2 S 50 no
2017 2016.74 1-PB2 H3N2 S 47 no
2017 2017.263 1-PB2 H3N2 S 53 no
2017 2016.951 1-PB2 H3N2 S 41 no
2017 2017.008 1-PB2 H3N2 S 47 no
2017 2017.184 1-PB2 H3N2 S 43 no
2017 2016.978 1-PB2 H3N2 S 40 no
2017 2017.378 1-PB2 H3N2 S 46 no
2017 2017.244 1-PB2 H3N2 S 42 no
2017 2017.003 1-PB2 H3N2 S 43 no
2017 2016.948 1-PB2 H3N2 S 49 no
2017 2017.216 1-PB2 H3N2 S 43 no
2017 2017.318 1-PB2 H3N2 S 41 no
2017 2016.729 1-PB2 H3N2 S 43 no
2017 2016.995 1-PB2 H3N2 S 45 no
2017 2017.246 1-PB2 H3N2 S 42 no
2017 2017.151 1-PB2 H3N2 S 43 no
2017 2017.356 1-PB2 H3N2 S 49 no
2017 2017.175 1-PB2 H3N2 S 46 no
2017 2016.992 1-PB2 H3N2 S 42 no
2017 2016.541 1-PB2 H3N2 S 41 no
2017 2017.005 1-PB2 H3N2 S 43 no
2017 2017.107 1-PB2 H3N2 S 44 no
2017 2017.23 1-PB2 H3N2 S 47 no
2018 2017.805 1-PB2 H3N2 S 52 no
2018 2017.97 1-PB2 H3N2 S 51 no
2018 2017.956 1-PB2 H3N2 S 47 no
2018 2017.797 1-PB2 H3N2 S 46 no
2018 2017.542 1-PB2 H3N2 S 51 no
