Year Gene BinFreq NS S ProportionNS NumVariants
within-host 8-NEP 0.01 49 31 0.6125 80
within-host 8-NS1 0.01 88 49 0.642335766423358 137
within-host 1-PB2 0.0316227766016838 51 55 0.481132075471698 106
within-host 2-PB1 0.0316227766016838 35 29 0.546875 64
within-host 3-PA 0.0316227766016838 25 37 0.403225806451613 62
within-host 4-HA 0.0316227766016838 49 38 0.563218390804598 87
within-host 5-NP 0.0316227766016838 41 22 0.650793650793651 63
within-host 6-NA 0.0316227766016838 22 28 0.44 50
within-host 7-M1 0.0316227766016838 7 7 0.5 14
within-host 7-M2 0.0316227766016838 2 3 0.4 5
within-host 8-NEP 0.0316227766016838 3 5 0.375 8
within-host 8-NS1 0.0316227766016838 22 9 0.709677419354839 31
within-host 1-PB2 0.1 6 15 0.285714285714286 21
within-host 2-PB1 0.1 8 16 0.333333333333333 24
within-host 3-PA 0.1 11 13 0.458333333333333 24
within-host 4-HA 0.1 14 11 0.56 25
within-host 5-NP 0.1 4 8 0.333333333333333 12
within-host 6-NA 0.1 15 8 0.652173913043478 23
within-host 7-M1 0.1 1 1 0.5 2
within-host 7-M2 0.1 2 0 1 2
within-host 8-NEP 0.1 1 2 0.333333333333333 3
within-host 8-NS1 0.1 2 2 0.5 4
within-host 1-PB2 0.316227766016838 0 5 0 5
within-host 2-PB1 0.316227766016838 2 13 0.133333333333333 15
within-host 3-PA 0.316227766016838 1 7 0.125 8
within-host 4-HA 0.316227766016838 4 6 0.4 10
within-host 5-NP 0.316227766016838 1 3 0.25 4
within-host 6-NA 0.316227766016838 5 0 1 5
within-host 7-M1 0.316227766016838 3 1 0.75 4
within-host 7-M2 0.316227766016838 1 0 1 1
within-host 8-NEP 0.316227766016838 0 0 NA 0
within-host 8-NS1 0.316227766016838 1 0 1 1
within-host 1-PB2 0.00316227766016838 359 164 0.686424474187381 523
within-host 2-PB1 0.00316227766016838 317 219 0.591417910447761 536
within-host 3-PA 0.00316227766016838 367 171 0.682156133828996 538
within-host 4-HA 0.00316227766016838 267 157 0.629716981132076 424
within-host 5-NP 0.00316227766016838 199 150 0.570200573065903 349
within-host 6-NA 0.00316227766016838 188 88 0.681159420289855 276
within-host 7-M1 0.00316227766016838 98 94 0.510416666666667 192
within-host 7-M2 0.00316227766016838 36 17 0.679245283018868 53
within-host 8-NEP 0.00316227766016838 76 30 0.716981132075472 106
within-host 8-NS1 0.00316227766016838 109 50 0.685534591194969 159
within-host 1-PB2 0.01 160 92 0.634920634920635 252
within-host 2-PB1 0.01 107 107 0.5 214
within-host 3-PA 0.01 203 128 0.613293051359517 331
within-host 4-HA 0.01 149 107 0.58203125 256
within-host 5-NP 0.01 146 108 0.574803149606299 254
within-host 6-NA 0.01 144 61 0.702439024390244 205
within-host 7-M1 0.01 51 21 0.708333333333333 72
within-host 7-M2 0.01 20 6 0.769230769230769 26
within-host 8-NEP 0.01 38 18 0.678571428571429 56
within-host 8-NS1 0.01 82 29 0.738738738738739 111
within-host 1-PB2 0.0316227766016838 56 41 0.577319587628866 97
within-host 2-PB1 0.0316227766016838 22 23 0.488888888888889 45
within-host 3-PA 0.0316227766016838 25 43 0.367647058823529 68
within-host 4-HA 0.0316227766016838 56 33 0.629213483146067 89
within-host 5-NP 0.0316227766016838 27 24 0.529411764705882 51
within-host 6-NA 0.0316227766016838 20 29 0.408163265306122 49
within-host 7-M1 0.0316227766016838 7 5 0.583333333333333 12
within-host 7-M2 0.0316227766016838 3 2 0.6 5
within-host 8-NEP 0.0316227766016838 8 5 0.615384615384615 13
within-host 8-NS1 0.0316227766016838 15 11 0.576923076923077 26
within-host 1-PB2 0.1 12 18 0.4 30
within-host 2-PB1 0.1 21 18 0.538461538461538 39
within-host 3-PA 0.1 14 9 0.608695652173913 23
within-host 4-HA 0.1 13 13 0.5 26
